7
1 : 2 3 4 5 6 7 
4 : 1 2 3 7 9 10 
5 : 1 2 6 7 8 9 
6 : 1 3 5 7 8 10 
7 : 1 4 5 6 9 10 
8 : 2 3 5 6 9 10 
9 : 2 4 5 7 8 10 
10 : 3 4 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 8 9 
3 : 1 2 4 6 8 10 
4 : 1 2 3 7 9 10 
5 : 1 2 6 7 8 9 
6 : 1 3 5 7 9 10 
7 : 1 4 5 6 8 10 
8 : 2 3 5 7 9 10 
9 : 2 4 5 6 8 10 
10 : 3 4 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 8 9 
3 : 1 2 4 6 8 10 
4 : 1 2 3 7 9 10 
5 : 1 2 6 7 8 10 
6 : 1 3 5 7 9 10 
7 : 1 4 5 6 8 9 
8 : 2 3 5 7 9 10 
9 : 2 4 6 7 8 10 
10 : 3 4 5 6 8 9 
